accn|CP007454	 01000001	98.693	40787	512	18	781457	822234	46893	6119	0.0	72347
accn|CP007454	 01000001	98.004	21087	386	24	755495	776568	72807	51743	0.0	36575
accn|CP007454	 01000001	98.036	4837	85	8	776754	781587	51706	46877	0.0	8397
accn|CP007454	 01000001	90.211	3647	288	40	822224	825848	6095	2496	0.0	4693
accn|CP007454	 01000001	85.415	2050	260	37	824330	826359	4526	2496	0.0	2093
accn|CP007454	 01000001	79.088	1492	280	30	823864	825337	3973	2496	0.0	998
accn|CP007454	 01000001	78.771	1465	287	23	824908	826360	4458	3006	0.0	961
accn|CP007454	 01000001	84.447	733	87	10	825861	826592	762	56	0.0	697
accn|CP007454	 01000001	79.448	978	168	31	823868	824827	3458	2496	0.0	662
accn|CP007454	 01000001	82.222	495	74	12	828481	828968	4526	4039	2.79e-114	414
accn|CP007454	 01000001	79.323	532	88	20	825334	825855	775	256	6.17e-96	353
accn|CP007454	 01000001	79.604	505	91	11	825862	826360	4526	4028	2.22e-95	351
accn|CP007454	 01000001	79.600	500	86	14	828477	828968	2997	2506	3.71e-93	344
accn|CP007454	 01000001	78.368	527	97	16	824313	824832	775	259	1.34e-87	326
accn|CP007454	 01000001	77.355	499	99	13	828477	828968	4019	3528	8.21e-75	283
accn|CP007454	 01000001	77.825	469	89	13	823857	824316	2958	2496	1.37e-72	276
accn|CP007454	 01000001	95.322	171	8	0	1271363	1271533	1191	1021	1.78e-71	272
accn|CP007454	 01000001	94.675	169	9	0	1122852	1123020	1021	1189	1.07e-68	263
accn|CP007454	 01000001	92.614	176	12	1	85270	85444	1017	1192	2.31e-65	252
accn|CP007454	 01000001	92.941	170	12	0	1395904	1396073	1185	1016	2.99e-64	248
accn|CP007454	 01000001	76.520	477	97	12	823854	824321	729	259	1.08e-63	246
accn|CP007454	 01000001	91.667	180	12	3	1288940	1289117	1187	1009	1.08e-63	246
accn|CP007454	 01000001	75.952	499	106	13	828477	828968	3508	3017	3.87e-63	244
accn|CP007454	 01000001	93.711	159	10	0	59169	59327	1026	1184	1.80e-61	239
accn|CP007454	 01000001	91.071	168	14	1	2747695	2747861	46935	46768	1.40e-57	226
accn|CP007454	 01000001	95.349	129	6	0	2541700	2541828	46897	46769	1.83e-51	206
accn|CP007454	 01000001	95.370	108	5	0	387015	387122	1133	1026	1.85e-41	172
accn|CP007454	 01000001	93.805	113	7	0	1607157	1607269	46768	46880	6.67e-41	171
accn|CP007454	 01000001	90.076	131	12	1	85675	85804	46767	46897	2.40e-40	169
accn|CP007454	 01000001	79.352	247	40	8	2453219	2453463	46768	47005	1.12e-38	163
accn|CP007454	 01000001	92.857	112	8	0	2453336	2453447	46769	46880	1.12e-38	163
accn|CP007454	 01000001	81.915	188	25	7	339134	339320	46813	46992	8.68e-35	150
accn|CP007454	 01000001	87.023	131	15	2	387160	387290	46955	46827	1.12e-33	147
accn|CP007454	 01000001	82.184	174	23	7	1948357	1948527	46767	46935	1.45e-32	143
accn|CP007454	 01000001	87.288	118	12	2	1596351	1596465	46763	46880	3.15e-29	132
accn|CP007454	 01000001	85.950	121	13	2	2237716	2237836	46877	46993	1.46e-27	126
accn|CP007454	 01000001	82.394	142	23	2	2753267	2753408	46952	46813	1.89e-26	122
accn|CP007454	 01000001	84.874	119	16	2	1937602	1937719	46763	46880	2.45e-25	119
accn|CP007454	 01000001	90.476	84	4	2	295475	295554	46763	46846	5.30e-22	108
accn|CP007454	 01000001	95.385	65	3	0	1596401	1596465	46871	46935	6.86e-21	104
accn|CP007454	 01000001	90.123	81	4	2	1431670	1431747	46763	46842	2.47e-20	102
accn|CP007454	 01000001	81.395	129	21	3	1431620	1431747	46827	46953	2.47e-20	102
accn|CP007454	 01000001	100.000	54	0	0	1947068	1947121	1132	1185	8.87e-20	100
accn|CP007454	 01000001	96.721	61	1	1	514153	514212	46829	46769	8.87e-20	100
accn|CP007454	 01000001	89.610	77	6	1	331948	332022	46765	46841	1.15e-18	97.1
accn|CP007454	 01000001	80.435	138	17	8	295422	295552	46766	46900	1.15e-18	97.1
accn|CP007454	 01000001	98.148	54	1	0	2541609	2541662	1185	1132	4.13e-18	95.3
accn|CP007454	 01000001	98.148	54	1	0	1157555	1157608	1132	1185	4.13e-18	95.3
accn|CP007454	 01000001	98.148	54	1	0	514107	514160	1185	1132	4.13e-18	95.3
accn|CP007454	 01000001	94.915	59	3	0	2257572	2257630	46823	46765	1.48e-17	93.5
accn|CP007454	 01000001	96.296	54	2	0	980974	981027	1185	1132	1.92e-16	89.8
accn|CP007454	 01000001	91.935	62	2	3	826733	826793	4843	4784	8.93e-15	84.2
accn|CP007454	 01000001	90.323	62	5	1	1079812	1079872	46768	46829	1.16e-13	80.5
accn|CP007454	 01000001	77.241	145	26	4	2094928	2095070	46966	46827	4.16e-13	78.7
accn|CP007454	 01000001	84.337	83	10	2	781455	781537	46950	46871	4.16e-13	78.7
accn|CP007454	 01000001	90.909	55	5	0	1821940	1821994	46822	46768	5.38e-12	75.0
